"Subject" "space" "frame" "device" "jerk" "magnitude" "statistic" "axis" "avg_value"
3 "f" "Body" "Acc" "NA" "NA" "std" "Z" -0.657443765803519
3 "f" "Body" "Gyro" "Jerk" "Mag" "mean" "NA" -0.810085498651026
3 "f" "Body" "Gyro" "Jerk" "Mag" "std" "NA" -0.810032718739003
3 "f" "Body" "Gyro" "NA" "Mag" "mean" "NA" -0.716822144279179
3 "f" "Body" "Gyro" "NA" "Mag" "std" "NA" -0.703839403007038
3 "f" "Body" "Gyro" "NA" "NA" "mean" "X" -0.642097719778592
3 "f" "Body" "Gyro" "NA" "NA" "mean" "Y" -0.775144985073314
3 "f" "Body" "Gyro" "NA" "NA" "mean" "Z" -0.670734708996481
3 "f" "Body" "Gyro" "NA" "NA" "std" "X" -0.719276622702346
3 "f" "Body" "Gyro" "NA" "NA" "std" "Y" -0.758505287214076
3 "f" "Body" "Gyro" "NA" "NA" "std" "Z" -0.751008875659824
3 "t" "Body" "Acc" "Jerk" "Mag" "mean" "NA" -0.650182434328446
3 "t" "Body" "Acc" "Jerk" "Mag" "std" "NA" -0.607658214170381
3 "t" "Body" "Acc" "Jerk" "NA" "mean" "X" 0.0701731261988856
3 "t" "Body" "Acc" "Jerk" "NA" "mean" "Y" 0.0144664329060411
3 "t" "Body" "Acc" "Jerk" "NA" "mean" "Z" -0.000526818872875366
3 "t" "Body" "Acc" "Jerk" "NA" "std" "X" -0.635484688041056
3 "t" "Body" "Acc" "Jerk" "NA" "std" "Y" -0.55721186773783
3 "t" "Body" "Acc" "Jerk" "NA" "std" "Z" -0.796066240234604
3 "t" "Body" "Acc" "NA" "Mag" "mean" "NA" -0.563140802770059
3 "t" "Body" "Acc" "NA" "Mag" "std" "NA" -0.591224780306452
3 "t" "Body" "Acc" "NA" "NA" "mean" "X" 0.273428719636364
3 "t" "Body" "Acc" "NA" "NA" "mean" "Y" -0.017856067384956
3 "t" "Body" "Acc" "NA" "NA" "mean" "Z" -0.106492632429097
3 "t" "Body" "Acc" "NA" "NA" "std" "X" -0.623413602046921
3 "t" "Body" "Acc" "NA" "NA" "std" "Y" -0.480015920697654
3 "t" "Body" "Acc" "NA" "NA" "std" "Z" -0.653625579293255
3 "t" "Body" "Gyro" "Jerk" "Mag" "mean" "NA" -0.784056656246334
3 "t" "Body" "Gyro" "Jerk" "Mag" "std" "NA" -0.80366136372434
3 "t" "Body" "Gyro" "Jerk" "NA" "mean" "X" -0.0991554609633431
3 "t" "Body" "Gyro" "Jerk" "NA" "mean" "Y" -0.0401923943695015
3 "t" "Body" "Gyro" "Jerk" "NA" "mean" "Z" -0.0521178264170088
3 "t" "Body" "Gyro" "Jerk" "NA" "std" "X" -0.689328428607038
3 "t" "Body" "Gyro" "Jerk" "NA" "std" "Y" -0.842659862111437
3 "t" "Body" "Gyro" "Jerk" "NA" "std" "Z" -0.743028500565982
3 "t" "Body" "Gyro" "NA" "Mag" "mean" "NA" -0.643150121648094
3 "t" "Body" "Gyro" "NA" "Mag" "std" "NA" -0.674010290979472
3 "t" "Body" "Gyro" "NA" "NA" "mean" "X" -0.0248490682828446
3 "t" "Body" "Gyro" "NA" "NA" "mean" "Y" -0.0743565308442815
3 "t" "Body" "Gyro" "NA" "NA" "mean" "Z" 0.0866875497119062
3 "t" "Body" "Gyro" "NA" "NA" "std" "X" -0.699262195705865
3 "t" "Body" "Gyro" "NA" "NA" "std" "Y" -0.76302218170088
3 "t" "Body" "Gyro" "NA" "NA" "std" "Z" -0.709483440322581
3 "t" "Gravity" "Acc" "NA" "Mag" "mean" "NA" -0.563140802770059
3 "t" "Gravity" "Acc" "NA" "Mag" "std" "NA" -0.591224780306452
3 "t" "Gravity" "Acc" "NA" "NA" "mean" "X" 0.707814353343108
3 "t" "Gravity" "Acc" "NA" "NA" "mean" "Y" -0.0260590480328739
3 "t" "Gravity" "Acc" "NA" "NA" "mean" "Z" 0.0480937904190616
3 "t" "Gravity" "Acc" "NA" "NA" "std" "X" -0.966457565630499
3 "t" "Gravity" "Acc" "NA" "NA" "std" "Y" -0.9445645371261
3 "t" "Gravity" "Acc" "NA" "NA" "std" "Z" -0.926966278211144
4 "f" "Body" "Acc" "Jerk" "Mag" "mean" "NA" -0.63501900541041
4 "f" "Body" "Acc" "Jerk" "Mag" "std" "NA" -0.666506718936908
4 "f" "Body" "Acc" "Jerk" "NA" "mean" "X" -0.652023078038801
4 "f" "Body" "Acc" "Jerk" "NA" "mean" "Y" -0.601696223759495
4 "f" "Body" "Acc" "Jerk" "NA" "mean" "Z" -0.825154871135647
4 "f" "Body" "Acc" "Jerk" "NA" "std" "X" -0.644622004704416
4 "f" "Body" "Acc" "Jerk" "NA" "std" "Y" -0.593855151524606
4 "f" "Body" "Acc" "Jerk" "NA" "std" "Z" -0.860544668359621
4 "f" "Body" "Acc" "NA" "Mag" "mean" "NA" -0.602098037677603
4 "f" "Body" "Acc" "NA" "Mag" "std" "NA" -0.672948341687697
4 "f" "Body" "Acc" "NA" "NA" "mean" "X" -0.628806379100946
4 "f" "Body" "Acc" "NA" "NA" "mean" "Y" -0.52583456615142
4 "f" "Body" "Acc" "NA" "NA" "mean" "Z" -0.755235428895899
4 "f" "Body" "Acc" "NA" "NA" "std" "X" -0.597551324155678
4 "f" "Body" "Acc" "NA" "NA" "std" "Y" -0.534661524341987
4 "f" "Body" "Acc" "NA" "NA" "std" "Z" -0.708764043722397
4 "f" "Body" "Gyro" "Jerk" "Mag" "mean" "NA" -0.838833209652997
4 "f" "Body" "Gyro" "Jerk" "Mag" "std" "NA" -0.863096864037855
4 "f" "Body" "Gyro" "NA" "Mag" "mean" "NA" -0.745650754608833
4 "f" "Body" "Gyro" "NA" "Mag" "std" "NA" -0.732586304826498
4 "f" "Body" "Gyro" "NA" "NA" "mean" "X" -0.641881977553943
4 "f" "Body" "Gyro" "NA" "NA" "mean" "Y" -0.831527531009464
4 "f" "Body" "Gyro" "NA" "NA" "mean" "Z" -0.689308946422713
4 "f" "Body" "Gyro" "NA" "NA" "std" "X" -0.721749187328076
4 "f" "Body" "Gyro" "NA" "NA" "std" "Y" -0.782885735867508
4 "f" "Body" "Gyro" "NA" "NA" "std" "Z" -0.7670895729653
4 "t" "Body" "Acc" "Jerk" "Mag" "mean" "NA" -0.656116311856877
4 "t" "Body" "Acc" "Jerk" "Mag" "std" "NA" -0.647249966810726
4 "t" "Body" "Acc" "Jerk" "NA" "mean" "X" 0.0788637845151419
4 "t" "Body" "Acc" "Jerk" "NA" "mean" "Y" 0.00351340949514196
4 "t" "Body" "Acc" "Jerk" "NA" "mean" "Z" -0.00737375142832808
4 "t" "Body" "Acc" "Jerk" "NA" "std" "X" -0.631853083289621
4 "t" "Body" "Acc" "Jerk" "NA" "std" "Y" -0.584063204701893
4 "t" "Body" "Acc" "Jerk" "NA" "std" "Z" -0.843353231167192
4 "t" "Body" "Acc" "NA" "Mag" "mean" "NA" -0.56158213510694
4 "t" "Body" "Acc" "NA" "Mag" "std" "NA" -0.606556049548896
4 "t" "Body" "Acc" "NA" "NA" "mean" "X" 0.274183111498423
4 "t" "Body" "Acc" "NA" "NA" "mean" "Y" -0.0148081545344921
4 "t" "Body" "Acc" "NA" "NA" "mean" "Z" -0.107521430810726
4 "t" "Body" "Acc" "NA" "NA" "std" "X" -0.605211727785489
4 "t" "Body" "Acc" "NA" "NA" "std" "Y" -0.509929384011325
4 "t" "Body" "Acc" "NA" "NA" "std" "Z" -0.709492735962145
4 "t" "Body" "Gyro" "Jerk" "Mag" "mean" "NA" -0.819191368044164
4 "t" "Body" "Gyro" "Jerk" "Mag" "std" "NA" -0.844187064164038
4 "t" "Body" "Gyro" "Jerk" "NA" "mean" "X" -0.107859315713249
4 "t" "Body" "Gyro" "Jerk" "NA" "mean" "Y" -0.0400427574662461
4 "t" "Body" "Gyro" "Jerk" "NA" "mean" "Z" -0.0578089304000631
4 "t" "Body" "Gyro" "Jerk" "NA" "std" "X" -0.723788617823344
4 "t" "Body" "Gyro" "Jerk" "NA" "std" "Y" -0.902502592618297
4 "t" "Body" "Gyro" "Jerk" "NA" "std" "Z" -0.748369141315457
4 "t" "Body" "Gyro" "NA" "Mag" "mean" "NA" -0.656291093847319
4 "t" "Body" "Gyro" "NA" "Mag" "std" "NA" -0.706738493542587
4 "t" "Body" "Gyro" "NA" "NA" "mean" "X" -0.0289417906907571
4 "t" "Body" "Gyro" "NA" "NA" "mean" "Y" -0.0787229907785489
4 "t" "Body" "Gyro" "NA" "NA" "mean" "Z" 0.0957174866009464
4 "t" "Body" "Gyro" "NA" "NA" "std" "X" -0.701397703369085
4 "t" "Body" "Gyro" "NA" "NA" "std" "Y" -0.79823574873817
4 "t" "Body" "Gyro" "NA" "NA" "std" "Z" -0.726374197066246
4 "t" "Gravity" "Acc" "NA" "Mag" "mean" "NA" -0.56158213510694
4 "t" "Gravity" "Acc" "NA" "Mag" "std" "NA" -0.606556049548896
4 "t" "Gravity" "Acc" "NA" "NA" "mean" "X" 0.706593043123028
4 "t" "Gravity" "Acc" "NA" "NA" "mean" "Y" 0.112591195496986
4 "t" "Gravity" "Acc" "NA" "NA" "mean" "Z" 0.164130896618297
4 "t" "Gravity" "Acc" "NA" "NA" "std" "X" -0.962636979274448
4 "t" "Gravity" "Acc" "NA" "NA" "std" "Y" -0.941416800167192
4 "t" "Gravity" "Acc" "NA" "NA" "std" "Z" -0.941403426072555
5 "f" "Body" "Acc" "Jerk" "Mag" "mean" "NA" -0.573176177044172
5 "f" "Body" "Acc" "Jerk" "Mag" "std" "NA" -0.613485123609272
5 "f" "Body" "Acc" "Jerk" "NA" "mean" "X" -0.604769869438742
5 "f" "Body" "Acc" "Jerk" "NA" "mean" "Y" -0.550991969857417
5 "f" "Body" "Acc" "Jerk" "NA" "mean" "Z" -0.768762357980132
5 "f" "Body" "Acc" "Jerk" "NA" "std" "X" -0.584013626983444
5 "f" "Body" "Acc" "Jerk" "NA" "std" "Y" -0.491500434303907
5 "f" "Body" "Acc" "Jerk" "NA" "std" "Z" -0.798835563807947
5 "f" "Body" "Acc" "NA" "Mag" "mean" "NA" -0.528503022745033
5 "f" "Body" "Acc" "NA" "Mag" "std" "NA" -0.594259529756954
5 "f" "Body" "Acc" "NA" "NA" "mean" "X" -0.55123770513245
5 "f" "Body" "Acc" "NA" "NA" "mean" "Y" -0.440232431795033
5 "f" "Body" "Acc" "NA" "NA" "mean" "Z" -0.696171811490066
5 "f" "Body" "Acc" "NA" "NA" "std" "X" -0.492829885748675
5 "f" "Body" "Acc" "NA" "NA" "std" "Y" -0.422162171100331
5 "f" "Body" "Acc" "NA" "NA" "std" "Z" -0.649351210748344
5 "f" "Body" "Gyro" "Jerk" "Mag" "mean" "NA" -0.748829309536424
5 "f" "Body" "Gyro" "Jerk" "Mag" "std" "NA" -0.735610602483444
5 "f" "Body" "Gyro" "NA" "Mag" "mean" "NA" -0.677355755703311
5 "f" "Body" "Gyro" "NA" "Mag" "std" "NA" -0.715731148145695
5 "f" "Body" "Gyro" "NA" "NA" "mean" "X" -0.632239300829801
5 "f" "Body" "Gyro" "NA" "NA" "mean" "Y" -0.71706218781457
5 "f" "Body" "Gyro" "NA" "NA" "mean" "Z" -0.537329127293278
5 "f" "Body" "Gyro" "NA" "NA" "std" "X" -0.73573857718543
5 "f" "Body" "Gyro" "NA" "NA" "std" "Y" -0.702290390960265
5 "f" "Body" "Gyro" "NA" "NA" "std" "Z" -0.669353687483444
5 "t" "Body" "Acc" "Jerk" "Mag" "mean" "NA" -0.589313870006622
5 "t" "Body" "Acc" "Jerk" "Mag" "std" "NA" -0.589031268133113
5 "t" "Body" "Acc" "Jerk" "NA" "mean" "X" 0.0841019899622517
5 "t" "Body" "Acc" "Jerk" "NA" "mean" "Y" 0.0017656830384106
5 "t" "Body" "Acc" "Jerk" "NA" "mean" "Z" -0.0029537113427351
5 "t" "Body" "Acc" "Jerk" "NA" "std" "X" -0.575890535679801
5 "t" "Body" "Acc" "Jerk" "NA" "std" "Y" -0.506544358609603
5 "t" "Body" "Acc" "Jerk" "NA" "std" "Z" -0.78456199486755
5 "t" "Body" "Acc" "NA" "Mag" "mean" "NA" -0.460866415568709
5 "t" "Body" "Acc" "NA" "Mag" "std" "NA" -0.52162345171192
5 "t" "Body" "Acc" "NA" "NA" "mean" "X" 0.279177960301325
5 "t" "Body" "Acc" "NA" "NA" "mean" "Y" -0.0154833455336192
5 "t" "Body" "Acc" "NA" "NA" "mean" "Z" -0.105661736816887
5 "t" "Body" "Acc" "NA" "NA" "std" "X" -0.507691011391722
5 "t" "Body" "Acc" "NA" "NA" "std" "Y" -0.402724906078146
5 "t" "Body" "Acc" "NA" "NA" "std" "Z" -0.646443640175497
5 "t" "Body" "Gyro" "Jerk" "Mag" "mean" "NA" -0.707383517582782
5 "t" "Body" "Gyro" "Jerk" "Mag" "std" "NA" -0.734187493344371
5 "t" "Body" "Gyro" "Jerk" "NA" "mean" "X" -0.103522877147351
5 "t" "Body" "Gyro" "Jerk" "NA" "mean" "Y" -0.0490624519374172
5 "t" "Body" "Gyro" "Jerk" "NA" "mean" "Z" -0.0506258160122517
5 "t" "Body" "Gyro" "Jerk" "NA" "std" "X" -0.662581310334437
5 "t" "Body" "Gyro" "Jerk" "NA" "std" "Y" -0.774114270364238
5 "t" "Body" "Gyro" "Jerk" "NA" "std" "Z" -0.564680771249007
5 "t" "Body" "Gyro" "NA" "Mag" "mean" "NA" -0.602770284825828
5 "t" "Body" "Gyro" "NA" "Mag" "std" "NA" -0.664078383532781
5 "t" "Body" "Gyro" "NA" "NA" "mean" "X" -0.0294516873643046
5 "t" "Body" "Gyro" "NA" "NA" "mean" "Y" -0.0774316445596026
5 "t" "Body" "Gyro" "NA" "NA" "mean" "Z" 0.0866267116745033
5 "t" "Body" "Gyro" "NA" "NA" "std" "X" -0.709955676983444
5 "t" "Body" "Gyro" "NA" "NA" "std" "Y" -0.705638306688742
5 "t" "Body" "Gyro" "NA" "NA" "std" "Z" -0.606589817380795
5 "t" "Gravity" "Acc" "NA" "Mag" "mean" "NA" -0.460866415568709
5 "t" "Gravity" "Acc" "NA" "Mag" "std" "NA" -0.52162345171192
5 "t" "Gravity" "Acc" "NA" "NA" "mean" "X" 0.698153719072848
5 "t" "Gravity" "Acc" "NA" "NA" "mean" "Y" 0.112313109736755
5 "t" "Gravity" "Acc" "NA" "NA" "mean" "Z" 0.0921607197449904
5 "t" "Gravity" "Acc" "NA" "NA" "std" "X" -0.964629108807947
5 "t" "Gravity" "Acc" "NA" "NA" "std" "Y" -0.939973777950331
5 "t" "Gravity" "Acc" "NA" "NA" "std" "Z" -0.94207867884106
6 "f" "Body" "Acc" "Jerk" "Mag" "mean" "NA" -0.494882316238462
6 "f" "Body" "Acc" "Jerk" "Mag" "std" "NA" -0.516711262173969
6 "f" "Body" "Acc" "Jerk" "NA" "mean" "X" -0.549394273848923
6 "f" "Body" "Acc" "Jerk" "NA" "mean" "Y" -0.503558973703692
6 "f" "Body" "Acc" "Jerk" "NA" "mean" "Z" -0.720867157741538
6 "f" "Body" "Acc" "Jerk" "NA" "std" "X" -0.555346159400332
6 "f" "Body" "Acc" "Jerk" "NA" "std" "Y" -0.437837459287385
6 "f" "Body" "Acc" "Jerk" "NA" "std" "Z" -0.755751144098462
6 "f" "Body" "Acc" "NA" "Mag" "mean" "NA" -0.473974924380431
6 "f" "Body" "Acc" "NA" "Mag" "std" "NA" -0.570910289993846
6 "f" "Body" "Acc" "NA" "NA" "mean" "X" -0.506174926221538
6 "f" "Body" "Acc" "NA" "NA" "mean" "Y" -0.392041410138769
6 "f" "Body" "Acc" "NA" "NA" "mean" "Z" -0.683725945015385
6 "f" "Body" "Acc" "NA" "NA" "std" "X" -0.506680276530492
6 "f" "Body" "Acc" "NA" "NA" "std" "Y" -0.396677793847908
6 "f" "Body" "Acc" "NA" "NA" "std" "Z" -0.694365207233846
6 "f" "Body" "Gyro" "Jerk" "Mag" "mean" "NA" -0.651886909221538
